Method_Label,Axis,stat,p_value
No Sound,X,0.8706986067370099,1.3164555279144146e-05
No Sound,Y,0.8942975594093306,8.204053278913666e-05
No Sound,Z,0.9104825396710994,0.00032421623693562417
Discrete Exponential,X,0.8249932912483093,6.003966338967631e-07
Discrete Exponential,Y,0.6195761148368998,3.307344168111705e-11
Discrete Exponential,Z,0.8968073792875124,0.00010082852418326127
Continuous Exponential,X,0.8934462825645944,7.654019532458078e-05
Continuous Exponential,Y,0.7049185556168573,1.1049152334474518e-09
Continuous Exponential,Z,0.8477755307473547,2.620675729538579e-06
Continuous Linear,X,0.9100955070031648,0.00031333383472828265
Continuous Linear,Y,0.870365631503943,1.2845749462098772e-05
Continuous Linear,Z,0.9447869431559102,0.008920348393924514
Discrete Linear,X,0.9275153031122563,0.001560439598882088
Discrete Linear,Y,0.7448425589549068,7.21363519933532e-09
Discrete Linear,Z,0.9474528884391726,0.011841434221176872
