Axis,Comparison,stat,p_value,effect_size_r,p_value_bonferroni,significant
X,音無し vs 離散指数,126.0,6.310856184922302e-09,-0.749848921241947,6.310856184922303e-08,True
X,音無し vs 連続指数,108.0,2.8361091287424085e-09,-0.766955740737961,2.8361091287424085e-08,True
X,音無し vs 連続線形,699.0,0.11181085778953141,-0.20528183395216798,1.0,False
X,音無し vs 離散線形,793.0,0.369123941061795,-0.11594622102853934,1.0,False
X,離散指数 vs 連続指数,839.0,0.5758329296396949,-0.07222879342761467,1.0,False
X,離散指数 vs 連続線形,159.0,2.615939412121963e-08,-0.718486418832588,2.6159394121219626e-07,True
X,離散指数 vs 離散線形,107.0,2.711482443790718e-09,-0.7679061195988507,2.711482443790718e-08,True
X,連続指数 vs 連続線形,197.0,1.2527221745279944e-07,-0.6823720221187808,1.2527221745279944e-06,True
X,連続指数 vs 離散線形,145.0,1.4410829872157848e-08,-0.7317917228850433,1.4410829872157848e-07,True
X,連続線形 vs 離散線形,767.0,0.27592585466766595,-0.14065607141167064,1.0,False
Y,音無し vs 離散指数,377.0,7.477970849527545e-05,-0.5113038271586408,0.0007477970849527545,True
Y,音無し vs 連続指数,389.0,0.00010785598324779055,-0.4998992808279647,0.0010785598324779054,True
Y,音無し vs 連続線形,603.0,0.021629032361820177,-0.296518204597576,0.21629032361820177,False
Y,音無し vs 離散線形,472.0,0.0011094562101724168,-0.42101783537412235,0.011094562101724168,True
Y,離散指数 vs 連続指数,859.0,0.6801563624850688,-0.053221216209821356,1.0,False
Y,離散指数 vs 連続線形,521.0,0.003726016216285954,-0.3744492711905287,0.03726016216285954,True
Y,離散指数 vs 離散線形,588.0,0.016073418826839395,-0.310773887510921,0.16073418826839395,False
Y,連続指数 vs 連続線形,579.0,0.013379732514095138,-0.319327297258928,0.13379732514095138,False
Y,連続指数 vs 離散線形,581.0,0.013941180339115962,-0.31742653953714867,0.1394118033911596,False
Y,連続線形 vs 離散線形,886.0,0.8309475279594561,-0.027560986965800338,1.0,False
Z,音無し vs 離散指数,788.0,0.3498276834612277,-0.12069811533298766,1.0,False
Z,音無し vs 連続指数,573.0,0.011813454012901615,-0.325029570424266,0.11813454012901614,False
Z,音無し vs 連続線形,793.0,0.369123941061795,-0.11594622102853934,1.0,False
Z,音無し vs 離散線形,750.0,0.22449407931846777,-0.15681251204679497,1.0,False
Z,離散指数 vs 連続指数,704.0,0.12035190213847893,-0.20052993964771965,1.0,False
Z,離散指数 vs 連続線形,882.0,0.8080573790843986,-0.03136250240935901,1.0,False
Z,離散指数 vs 離散線形,899.0,0.9062375015979645,-0.015206061774234673,1.0,False
Z,連続指数 vs 連続線形,647.0,0.04850586217962796,-0.2547015347184307,0.4850586217962796,False
Z,連続指数 vs 離散線形,637.0,0.04070468302098055,-0.26420532332732743,0.4070468302098055,False
Z,連続線形 vs 離散線形,904.0,0.9354597403431613,-0.010454167469786326,1.0,False
