Condition,Experiment,Dizziness,Target Difficulty,Object Distinction Difficulty,Mental Strain,Fun Experience
音あり,実験1,1,2,2,1,6
音無し,実験1,1,6,6,2,5
音あり,実験2,1,4,4,4,4
音無し,実験2,1,7,6,5,2
音あり,実験3,1,4,3,3,3
音無し,実験3,3,5,6,4,2
音あり,実験1,2,2,4,3,5
音無し,実験1,2,6,4,4,3
音あり,実験2,1,2,5,3,4
音無し,実験2,1,2,6,5,3
音あり,実験3,1,5,5,5,3
音無し,実験3,2,2,3,3,5
音無し,実験1,2,5,6,2,6
音あり,実験1,2,4,4,2,6
音無し,実験2,2,4,4,1,5
音あり,実験2,2,2,2,3,4
音無し,実験3,2,3,3,4,3
音あり,実験3,2,2,2,3,3
音無し,実験1,2,5,7,5,5
音あり,実験1,4,3,5,5,6
音無し,実験2,1,4,4,4,4
音あり,実験2,1,2,4,5,5
音無し,実験3,1,2,1,2,5
音あり,実験3,1,1,1,2,5
音無し,実験1,2,5,4,3,4
音あり,実験1,1,2,2,2,5
音無し,実験2,1,6,6,5,4
音あり,実験2,1,5,4,4,3
音無し,実験3,1,2,1,1,2
音あり,実験3,1,1,1,1,2
音あり,実験1,3,5,1,2,7
音無し,実験1,2,5,2,1,7
音あり,実験2,1,4,5,3,4
音無し,実験2,1,3,6,2,4
音あり,実験3,1,5,2,6,6
音無し,実験3,1,3,1,2,6
音無し,実験1,3,4,5,2,6
音あり,実験1,3,3,2,2,6
音無し,実験2,4,3,4,4,5
音あり,実験2,4,5,5,5,4
音無し,実験3,2,5,3,6,4
音あり,実験3,2,3,2,4,5
音あり,実験1,2,2,2,2,5
音無し,実験1,2,5,6,5,3
音あり,実験2,2,2,3,4,5
音無し,実験2,2,5,7,6,4
音あり,実験3,2,2,2,3,5
音無し,実験3,2,3,4,5,4
音無し,実験1,6,7,7,5,5
音あり,実験1,1,3,2,6,4
音無し,実験2,1,2,3,2,5
音あり,実験2,1,3,2,2,5
音無し,実験3,1,1,3,3,4
音あり,実験3,1,1,2,2,4
音無し,実験1,1,4,3,1,3
音あり,実験1,1,1,1,1,4
音無し,実験2,1,5,6,3,2
音あり,実験2,1,3,2,2,3
音無し,実験3,1,4,2,2,1
音あり,実験3,1,1,1,1,3
音無し,実験1,3,4,3,1,5
音あり,実験1,2,3,2,1,5
音無し,実験2,1,6,6,2,1
音あり,実験2,1,4,3,2,1
音無し,実験3,1,5,2,2,1
音あり,実験3,1,3,2,3,1
